Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2621927,Scientific Advertising,Claude C. Hopkins,"Hopkins, Claude C.",,"=""1599869160""","=""9781599869162""",0,4.07,Fq Classics,Paperback,104,2007,1923,,2020/03/30,to-read,to-read (#34),to-read,,,,0,0
2862482,Unleashing the Idea Virus,Seth Godin,"Godin, Seth",,"=""0743504224""","=""9780743504225""",0,3.93,Simon & Schuster Audio,Audio Cassette,0,2001,2000,,2020/03/30,to-read,to-read (#33),to-read,,,,0,0
79690,Why You Act the Way You Do,Tim LaHaye,"LaHaye, Tim",,"=""0842382127""","=""9780842382120""",0,3.99,Tyndale Momentum,Mass Market Paperback,336,1988,1987,,2020/03/30,to-read,to-read (#32),to-read,,,,0,0
20613671,Economics: The User's Guide,Ha-Joon Chang,"Chang, Ha-Joon",,"=""1620408120""","=""9781620408124""",0,4.16,Bloomsbury Publishing,Hardcover,384,2014,2014,,2019/06/17,to-read,to-read (#31),to-read,,,,0,0
25135194,"Prisoners of Geography: Ten Maps That Tell You Everything You Need to Know About Global Politics (Politics of Place, #1)",Tim  Marshall,"Marshall, Tim",,"=""1783961414""","=""9781783961412""",0,4.19,Elliott & Thompson,Hardcover,256,2015,2015,,2019/06/17,to-read,to-read (#30),to-read,,,,0,0
9516,"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,"=""037571457X""","=""9780375714573""",0,4.27,Pantheon,Paperback,153,2004,2003,,2019/05/15,to-read,to-read (#29),to-read,,,,0,0
252124,The Man Who Ate Everything,Jeffrey Steingarten,"Steingarten, Jeffrey",,"=""0375702024""","=""9780375702020""",0,3.88,Vintage,Paperback,528,1998,1997,,2019/05/11,to-read,to-read (#28),to-read,,,,0,0
13593553,To Sell is Human: The Surprising Truth About Moving Others,Daniel H. Pink,"Pink, Daniel H.",,"=""1594487154""","=""9781594487156""",0,3.88,Riverhead Books,Hardcover,272,2012,2012,,2019/04/01,to-read,to-read (#27),to-read,,,,0,0
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",0,3.98,Random House,Hardcover,291,2007,2006,,2019/04/01,to-read,to-read (#26),to-read,,,,0,0
567610,How to Read a Book: The Classic Guide to Intelligent Reading,Mortimer J. Adler,"Adler, Mortimer J.",Charles van Doren,"=""""","=""""",0,3.98,"Simon & Schuster, Inc",Paperback,442,1972,1940,,2019/04/01,to-read,to-read (#25),to-read,,,,0,0
